	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	(gtfp_level) PCA	(gtfp_level) DID	(ln_so2) PCA	(ln_so2) DID	(coal_share_pctg) PCA	(coal_share_pctg) DID	(ln_co2) PCA	(ln_co2) DID
								
2022.year	2.267**	1.670*	-2.529***	-2.456***	-0.00243	-0.00894	0.418**	0.407**
	(1.038)	(0.912)	(0.518)	(0.494)	(0.116)	(0.113)	(0.168)	(0.164)
Constant	-9.298**	-8.891**	2.058	2.073	1.567**	1.551**	17.03***	17.04***
	(4.099)	(3.832)	(2.874)	(2.803)	(0.596)	(0.590)	(1.207)	(1.202)
								
Observations	480	480	480	480	480	480	480	480
R-squared	0.686	0.755	0.946	0.947	0.750	0.752	0.847	0.848
Number of province_id	30	30	30	30	30	30	30	30
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
